ticker,name,pe_low,pe_high
2330,台積電,9.4,18.6
3711,日月光投控,10.2,22.9
2327,國巨,18,30.3
3030,德律,8,16.5
2444,兆勁,8,12
6290,良維,8,16.8
6271,同欣電,17.9,23.1
6285,啟碁,16.3,23.7
3189,景碩,15,35
3105,穩懋,16.3,44
5289,宜鼎,8,8.1
8150,南茂,25.9,42.2
5347,世界,19,26.8
3563,牧德,18.3,35.9
2313,華通,8,22.3
3010,華立,10.3,13.1
7879,益材科技,24.7,32.1
2383,台光電,8,35.4
4772,台特化,25.9,35
6249,印能科技,12,18
2308,台達電,8.8,34.1
5388,中磊,23.5,30.4
7711,永擎,13.3,19.3
2329,華泰,14.8,22.3
3515,華擎,13,16.2
3363,上智,8,12
4906,正文,8,12
3374,精材,24.5,36.6
4967,十銓,8,3.9
8271,宇瞻,8,5.1
3529,力旺,74.6,35
6643,M31,13417.3,35
6531,愛普,28.4,48.4
3035,智原,98.7,35
3443,創意,31.7,35
2454,聯發科,14.6,25.9
6223,旺矽,8,35
6515,穎崴,8,35
3037,欣興,12.2,45.7
2337,旺宏,8,12
6770,力積電,9.8,22.1
6239,力成,13.7,21.3
3131,弘塑,15,34
4770,上品,25.6,34.9
8046,南電,23.7,35
7769,湧勁,11.9,39.8
3533,嘉澤,15,24.2
8996,高力,13.6,34.1
3526,凡甲,11.4,15.3
3324,雙鴻,13,24.1
3017,奇鋐,8,20.4
2455,全新,37.3,35
4971,IET-KY,8,35
3163,波若威,8,49.1
4977,眾達-KY,16.5,29.2
3653,健策,20,35
3265,台星科,15.7,22.2
3376,新日興,207,35
6230,超眾,8,12
2301,光寶科,14.9,21.4
6451,訊芯-KY,8,12
3583,辛耘,15.8,30.1
6213,聯茂,16.4,32.1
6274,台耀,8,31.1
3210,英濟,12,18
6121,新普,11.5,13.5
3211,順達,9.6,25.7
1537,廣隆,17.1,19.2
8038,長園科,21.4,33
6509,聚和,10.7,12.7
5222,全訊,65.8,35
5227,立凱-KY,8,12
6125,廣運,443,35
3013,晟銘電,14.4,27.8
1587,吉茂,64.2,35
2317,鴻海,9.3,14.6
3693,營邦,35.2,35
2395,研華,24.9,29.2
6669,緯穎,8,11.1
3231,緯創,9.9,12.6
2356,英業達,16.3,20
4938,和碩,17.4,21.8
2357,華碩,8,11
3702,大聯大,8,10.6
2362,藍天,16.6,22.9
2367,燿華,8,12
2312,金寶,15.9,22.9
2360,致茂,8,27.3
6526,達發,29.3,37.1
6842,瑞昱,8,13.9
1809,中釉,84.4,35
6640,均華,16.6,35
6664,群翊,11.9,19.6
